time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
2.02,46.4076,-2.38239,7.29631,4,-0.0605153,0.221606,0.973257
2.03,46.5891,-2.39136,7.30897,4,-0.0604033,0.223297,0.972877
2.04,46.7702,-2.4001,7.32152,4,-0.0602947,0.224963,0.9725
2.05,46.951,-2.40862,7.33395,4,-0.0601894,0.226607,0.972125
2.06,47.1313,-2.41692,7.34627,4,-0.0600873,0.228227,0.971752
2.07,47.3114,-2.425,7.35848,4,-0.0599885,0.229825,0.971381
2.08,47.491,-2.43285,7.37057,4,-0.0598929,0.2314,0.971013
2.09,47.6703,-2.44048,7.38255,4,-0.0598004,0.232952,0.970648
2.1,47.8492,-2.44788,7.39441,4,-0.0597111,0.234482,0.970285
2.11,48.0278,-2.45505,7.40616,4,-0.0596249,0.235989,0.969925
2.12,48.206,-2.462,7.4178,4,-0.0595417,0.237475,0.969567
2.13,48.3838,-2.46871,7.42932,4,-0.0594615,0.238938,0.969213
2.14,48.5613,-2.4752,7.44072,4,-0.0593843,0.240379,0.968861
2.15,48.7384,-2.48146,7.45201,4,-0.05931,0.241798,0.968512
2.16,48.9152,-2.48748,7.46318,4,-0.0592386,0.243196,0.968167
2.17,49.0916,-2.49328,7.47423,4,-0.05917,0.244572,0.967824
2.18,49.2676,-2.49884,7.48517,4,-0.0591042,0.245927,0.967485
2.19,49.4433,-2.50416,7.49598,4,-0.0590412,0.24726,0.967149
2.2,49.6187,-2.50926,7.50668,4,-0.0589809,0.248573,0.966816
2.21,49.7936,-2.51412,7.51726,4,-0.0589233,0.249864,0.966486
2.22,49.9683,-2.51874,7.52772,4,-0.0588683,0.251134,0.96616
2.23,50.1426,-2.52312,7.53806,4,-0.058816,0.252384,0.965838
2.24,50.3165,-2.52727,7.54828,4,-0.0587661,0.253613,0.965519
2.25,50.4901,-2.53119,7.55838,4,-0.0587187,0.254821,0.965204
2.26,50.6634,-2.53486,7.56836,4,-0.0586738,0.256009,0.964892
2.27,50.8363,-2.53829,7.57821,4,-0.0586313,0.257177,0.964584
2.28,51.0089,-2.54149,7.58795,4,-0.0585912,0.258324,0.96428
2.29,51.1811,-2.54445,7.59756,4,-0.0585534,0.259452,0.963979
2.3,51.353,-2.54716,7.60706,4,-0.0585178,0.260559,0.963683
2.31,51.5245,-2.54963,7.61643,4,-0.0584844,0.261647,0.96339
2.32,51.6957,-2.55187,7.62567,4,-0.0584532,0.262715,0.963101
2.33,51.8666,-2.55386,7.6348,4,-0.0584242,0.263763,0.962816
2.34,52.0372,-2.55561,7.6438,4,-0.0583972,0.264792,0.962536
2.35,52.2074,-2.55711,7.65268,4,-0.0583722,0.265802,0.962259
2.36,52.3772,-2.55837,7.66143,4,-0.0583492,0.266792,0.961986
2.37,52.5468,-2.55939,7.67006,4,-0.0583282,0.267763,0.961718
2.38,52.716,-2.56017,7.67857,4,-0.058309,0.268715,0.961453
2.39,52.8848,-2.5607,7.68695,4,-0.0582916,0.269648,0.961193
2.4,53.0534,-2.56098,7.6952,4,-0.0582761,0.270562,0.960937
2.41,53.2216,-2.56102,7.70333,4,-0.0582622,0.271458,0.960685
2.42,53.3895,-2.56082,7.71134,4,-0.05825,0.272334,0.960438
2.43,53.557,-2.56037,7.71922,4,-0.0582395,0.273193,0.960195
2.44,53.7243,-2.55967,7.72697,4,-0.0582305,0.274033,0.959956
2.45,53.8912,-2.55872,7.7346,4,-0.0582231,0.274854,0.959721
2.46,54.0578,-2.55753,7.7421,4,-0.0582171,0.275658,0.959491
2.47,54.2241,-2.55609,7.74947,4,-0.0582126,0.276443,0.959266
2.48,54.39,-2.55441,7.75672,4,-0.0582094,0.27721,0.959044
2.49,54.5556,-2.55248,7.76384,4,-0.0582075,0.277959,0.958828
2.5,54.7209,-2.55029,7.77083,4,-0.0582069,0.278691,0.958615
2.51,54.8859,-2.54787,7.7777,4,-0.0582075,0.279405,0.958407
2.52,55.0506,-2.54519,7.78444,4,-0.0582093,0.280101,0.958204
2.53,55.2149,-2.54226,7.79105,4,-0.0582122,0.280779,0.958005
2.54,55.379,-2.53909,7.79754,4,-0.0582162,0.281441,0.957811
2.55,55.5427,-2.53567,7.80389,4,-0.0582211,0.282084,0.957621
2.56,55.7061,-2.532,7.81012,4,-0.058227,0.282711,0.957436
2.57,55.8692,-2.52808,7.81622,4,-0.0582338,0.28332,0.957256
2.58,56.032,-2.52391,7.82219,4,-0.0582415,0.283913,0.95708
2.59,56.1945,-2.51949,7.82804,4,-0.0582499,0.284488,0.956908
2.6,56.3567,-2.51482,7.83375,4,-0.0582591,0.285046,0.956742
2.61,56.5185,-2.5099,7.83934,4,-0.058269,0.285588,0.956579
2.62,56.6801,-2.50474,7.8448,4,-0.0582795,0.286113,0.956422
2.63,56.8413,-2.49932,7.85013,4,-0.0582906,0.286621,0.956269
2.64,57.0023,-2.49366,7.85533,4,-0.0583022,0.287113,0.956121
2.65,57.1629,-2.48774,7.8604,4,-0.0583143,0.287588,0.955977
2.66,57.3232,-2.48158,7.86534,4,-0.0583268,0.288047,0.955838
2.67,57.4832,-2.47516,7.87016,4,-0.0583397,0.28849,0.955704
2.68,57.643,-2.4685,7.87484,4,-0.0583529,0.288917,0.955574
2.69,57.8024,-2.46159,7.8794,4,-0.0583663,0.289327,0.955449
2.7,57.9615,-2.45443,7.88383,4,-0.05838,0.289721,0.955329
2.71,58.1203,-2.44702,7.88812,4,-0.0583938,0.2901,0.955213
2.72,58.2788,-2.43936,7.89229,4,-0.0584077,0.290462,0.955102
2.73,58.4371,-2.43145,7.89633,4,-0.0584217,0.290809,0.954996
