time_elapsed,pos_x,pos_y,pos_z,disc_state,orient_x,orient_y,orient_z
1.74,25.3373,-9.31016,0.699894,4,-0.13785,-0.459452,0.87744
1.75,25.463,-9.39776,0.671862,4,-0.137263,-0.458752,0.877898
1.76,25.5884,-9.48571,0.643623,4,-0.136673,-0.458052,0.878356
1.77,25.7137,-9.57399,0.615178,4,-0.136079,-0.457352,0.878813
1.78,25.8387,-9.66262,0.586528,4,-0.135482,-0.456651,0.879269
1.79,25.9636,-9.75158,0.557674,4,-0.134881,-0.45595,0.879725
1.8,26.0883,-9.84088,0.528618,4,-0.134275,-0.455249,0.880181
1.81,26.2127,-9.93052,0.49936,4,-0.133666,-0.454546,0.880637
1.82,26.337,-10.0205,0.469901,4,-0.133053,-0.453843,0.881092
1.83,26.4611,-10.1108,0.440243,4,-0.132435,-0.453139,0.881547
1.84,26.585,-10.2015,0.410387,4,-0.131813,-0.452434,0.882003
1.85,26.7087,-10.2924,0.380334,4,-0.131187,-0.451728,0.882458
1.86,26.8322,-10.3837,0.350084,4,-0.130556,-0.45102,0.882913
1.87,26.9555,-10.4754,0.31964,4,-0.12992,-0.450312,0.883369
1.88,27.0787,-10.5674,0.289001,4,-0.12928,-0.449601,0.883824
1.89,27.2016,-10.6597,0.25817,4,-0.128635,-0.44889,0.88428
1.9,27.3243,-10.7523,0.227148,4,-0.127985,-0.448176,0.884736
1.91,27.4469,-10.8453,0.195935,4,-0.127329,-0.447461,0.885193
1.92,27.5693,-10.9386,0.164532,4,-0.126669,-0.446744,0.885649
1.93,27.6915,-11.0323,0.132941,4,-0.126003,-0.446025,0.886107
1.94,27.8134,-11.1263,0.101162,4,-0.125332,-0.445304,0.886564
1.95,27.9353,-11.2206,0.0691977,4,-0.124656,-0.444581,0.887023
1.96,28.0569,-11.3152,0.0370479,4,-0.123974,-0.443855,0.887481
1.97,28.1783,-11.4102,0.00471409,4,-0.123286,-0.443127,0.887941
1.98,28.2996,-11.5054,-0.0278027,0,-0.122593,-0.442397,0.888401
